Case ID,Activity,Timestamp,Resource,issue_sentiment,issue_emotion,issue_user_type,pr_user_type,issue_labels
544698019,Issue Created,2020-01-02 18:45:24+00:00,MartijnCuppens,0.0,neutral,User,User,"docs,v5"
544698019,PR Created,2020-01-02 18:45:24+00:00,MartijnCuppens,0.0,neutral,User,User,"docs,v5"
544698019,Issue Closed,2020-02-13 12:45:33+00:00,MartijnCuppens,0.0,neutral,User,User,"docs,v5"
544698019,PR Closed,2020-02-13 12:45:33+00:00,MartijnCuppens,0.0,neutral,User,User,"docs,v5"
544698019,Issue Updated,2020-02-13 12:45:35+00:00,MartijnCuppens,0.0,neutral,User,User,"docs,v5"
544698019,PR Updated,2020-02-13 12:45:35+00:00,MartijnCuppens,0.0,neutral,User,User,"docs,v5"
545440801,Issue Created,2020-01-05 16:54:38+00:00,MartijnCuppens,0.2732,neutral,User,User,"docs,v5,no-backport-to-v4,no squash"
545440801,PR Created,2020-01-05 16:54:38+00:00,MartijnCuppens,0.2732,neutral,User,User,"docs,v5,no-backport-to-v4,no squash"
545440801,Issue Closed,2020-02-14 13:09:46+00:00,MartijnCuppens,0.2732,neutral,User,User,"docs,v5,no-backport-to-v4,no squash"
545440801,PR Closed,2020-02-14 13:09:46+00:00,MartijnCuppens,0.2732,neutral,User,User,"docs,v5,no-backport-to-v4,no squash"
545440801,Issue Updated,2020-02-14 13:09:49+00:00,MartijnCuppens,0.2732,neutral,User,User,"docs,v5,no-backport-to-v4,no squash"
545440801,PR Updated,2020-02-14 13:09:49+00:00,MartijnCuppens,0.2732,neutral,User,User,"docs,v5,no-backport-to-v4,no squash"
545674369,Issue Created,2020-01-06 11:15:18+00:00,coliff,0.3182,surprise,User,User,"docs,v4,v5,backport-to-v4"
545674369,PR Created,2020-01-06 11:15:18+00:00,coliff,0.3182,surprise,User,User,"docs,v4,v5,backport-to-v4"
545674369,Issue Closed,2020-02-17 07:55:32+00:00,coliff,0.3182,surprise,User,User,"docs,v4,v5,backport-to-v4"
545674369,PR Closed,2020-02-17 07:55:32+00:00,coliff,0.3182,surprise,User,User,"docs,v4,v5,backport-to-v4"
545674369,Issue Updated,2020-02-17 11:56:42+00:00,coliff,0.3182,surprise,User,User,"docs,v4,v5,backport-to-v4"
545674369,PR Updated,2020-02-17 11:56:42+00:00,coliff,0.3182,surprise,User,User,"docs,v4,v5,backport-to-v4"
546230556,Issue Created,2020-01-07 11:24:30+00:00,XhmikosR,0.0,neutral,User,User,"v5,dependencies"
546230556,PR Created,2020-01-07 11:24:30+00:00,XhmikosR,0.0,neutral,User,User,"v5,dependencies"
546230556,Issue Closed,2020-01-07 20:18:25+00:00,XhmikosR,0.0,neutral,User,User,"v5,dependencies"
546230556,PR Closed,2020-01-07 20:18:25+00:00,XhmikosR,0.0,neutral,User,User,"v5,dependencies"
546230556,Issue Updated,2020-01-23 10:31:27+00:00,XhmikosR,0.0,neutral,User,User,"v5,dependencies"
546230556,PR Updated,2020-01-23 10:31:27+00:00,XhmikosR,0.0,neutral,User,User,"v5,dependencies"
546242507,Issue Created,2020-01-07 11:53:07+00:00,XhmikosR,0.0,neutral,User,User,"docs,v4,v5,backport-to-v4"
546242507,PR Created,2020-01-07 11:53:07+00:00,XhmikosR,0.0,neutral,User,User,"docs,v4,v5,backport-to-v4"
546242507,Issue Closed,2020-02-16 19:55:21+00:00,XhmikosR,0.0,neutral,User,User,"docs,v4,v5,backport-to-v4"
546242507,PR Closed,2020-02-16 19:55:21+00:00,XhmikosR,0.0,neutral,User,User,"docs,v4,v5,backport-to-v4"
546242507,Issue Updated,2020-02-16 19:55:22+00:00,XhmikosR,0.0,neutral,User,User,"docs,v4,v5,backport-to-v4"
546242507,PR Updated,2020-02-16 19:55:22+00:00,XhmikosR,0.0,neutral,User,User,"docs,v4,v5,backport-to-v4"
547063912,Issue Created,2020-01-08 19:42:05+00:00,MartijnCuppens,-0.3182,disgust,User,User,"css,v5,no-backport-to-v4"
547063912,PR Created,2020-01-08 19:42:05+00:00,MartijnCuppens,-0.3182,disgust,User,User,"css,v5,no-backport-to-v4"
547063912,Issue Closed,2020-04-06 11:29:40+00:00,MartijnCuppens,-0.3182,disgust,User,User,"css,v5,no-backport-to-v4"
