Case ID,Activity,Timestamp,Resource,issue_sentiment,issue_emotion,issue_user_type,pr_user_type,issue_labels
544306592,Issue Created,2020-01-01 03:55:42+00:00,areebg9,0.0,neutral,User,User,"cla: yes,ready to pull,comp:ops,size:S"
544306592,PR Created,2020-01-01 03:55:42+00:00,areebg9,0.0,neutral,User,User,"cla: yes,ready to pull,comp:ops,size:S"
544306592,Issue Updated,2020-01-17 17:17:42+00:00,areebg9,0.0,neutral,User,User,"cla: yes,ready to pull,comp:ops,size:S"
544306592,Issue Closed,2020-01-17 17:17:42+00:00,areebg9,0.0,neutral,User,User,"cla: yes,ready to pull,comp:ops,size:S"
544306592,PR Updated,2020-01-17 17:17:42+00:00,areebg9,0.0,neutral,User,User,"cla: yes,ready to pull,comp:ops,size:S"
544306592,PR Closed,2020-01-17 17:17:42+00:00,areebg9,0.0,neutral,User,User,"cla: yes,ready to pull,comp:ops,size:S"
544575606,Issue Created,2020-01-02 13:19:05+00:00,areebg9,0.6486,neutral,User,User,"cla: yes,stat:awaiting response,comp:ops,size:S"
544575606,PR Created,2020-01-02 13:19:05+00:00,areebg9,0.6486,neutral,User,User,"cla: yes,stat:awaiting response,comp:ops,size:S"
544575606,Issue Updated,2020-02-14 22:09:47+00:00,areebg9,0.6486,neutral,User,User,"cla: yes,stat:awaiting response,comp:ops,size:S"
544575606,Issue Closed,2020-02-14 22:09:47+00:00,areebg9,0.6486,neutral,User,User,"cla: yes,stat:awaiting response,comp:ops,size:S"
544575606,PR Updated,2020-02-14 22:09:47+00:00,areebg9,0.6486,neutral,User,User,"cla: yes,stat:awaiting response,comp:ops,size:S"
544575606,PR Closed,2020-02-14 22:09:47+00:00,areebg9,0.6486,neutral,User,User,"cla: yes,stat:awaiting response,comp:ops,size:S"
544635179,Issue Created,2020-01-02 15:54:29+00:00,MoussaMM,0.0,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:S"
544635179,PR Created,2020-01-02 15:54:29+00:00,MoussaMM,0.0,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:S"
544635179,Issue Closed,2020-02-26 22:11:41+00:00,MoussaMM,0.0,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:S"
544635179,PR Closed,2020-02-26 22:11:41+00:00,MoussaMM,0.0,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:S"
544635179,Issue Updated,2020-02-27 20:56:56+00:00,MoussaMM,0.0,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:S"
544635179,PR Updated,2020-02-27 20:56:56+00:00,MoussaMM,0.0,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:S"
544715784,Issue Created,2020-01-02 19:37:46+00:00,arpan-dhatt,0.0,neutral,User,User,"cla: yes,ready to pull,size:S"
544715784,PR Created,2020-01-02 19:37:46+00:00,arpan-dhatt,0.0,neutral,User,User,"cla: yes,ready to pull,size:S"
544715784,Issue Updated,2020-01-03 17:09:22+00:00,arpan-dhatt,0.0,neutral,User,User,"cla: yes,ready to pull,size:S"
544715784,Issue Closed,2020-01-03 17:09:22+00:00,arpan-dhatt,0.0,neutral,User,User,"cla: yes,ready to pull,size:S"
544715784,PR Updated,2020-01-03 17:09:22+00:00,arpan-dhatt,0.0,neutral,User,User,"cla: yes,ready to pull,size:S"
544715784,PR Closed,2020-01-03 17:09:22+00:00,arpan-dhatt,0.0,neutral,User,User,"cla: yes,ready to pull,size:S"
544804141,Issue Created,2020-01-03 00:25:01+00:00,charmasaur,0.0,neutral,User,User,"cla: yes,ready to pull,size:XS"
544804141,PR Created,2020-01-03 00:25:01+00:00,charmasaur,0.0,neutral,User,User,"cla: yes,ready to pull,size:XS"
544804141,Issue Closed,2020-02-03 17:40:18+00:00,charmasaur,0.0,neutral,User,User,"cla: yes,ready to pull,size:XS"
